1,2021-10-28-06-44,null,null,null,null
2,2021-10-28-08-14,null,null,null,null
3,2021-10-28-11-56,null,null,null,null
4,2021-10-28-11-51,null,null,null,null
5,2021-10-27-22-16,null,null,null,null
6,2021-10-27-03-35,null,null,null,null
7,2021-10-27-21-02,null,null,null,null
8,2021-10-27-18-33,null,null,null,null
9,2021-10-28-09-14,null,null,null,null
10,2021-10-27-17-54,null,null,null,null
11,2021-10-27-18-16,null,null,null,null
12,2021-10-28-06-24,null,null,null,null
13,2021-10-27-20-18,null,null,null,null
14,2021-10-27-13-15,null,null,null,null
15,2021-10-28-02-30,null,null,null,null
16,2021-10-27-04-13,null,null,null,null
17,2021-10-28-09-24,null,null,null,null
18,2021-10-27-03-55,null,null,null,null
19,2021-10-27-18-46,null,null,null,null
20,2021-10-28-10-25,null,null,null,null
21,2021-10-28-06-32,null,null,null,null
22,2021-10-27-22-49,null,null,null,null
23,2021-10-27-17-07,null,null,null,null
24,2021-10-27-16-24,null,null,null,null
25,2021-10-27-10-48,null,null,null,null
26,2021-10-28-02-50,null,null,null,null
27,2021-10-27-16-40,null,null,null,null
28,2021-10-27-02-21,null,null,null,null
29,2021-10-27-22-37,null,null,null,null
30,2021-10-27-18-44,null,null,null,null
31,2021-10-28-16-41,null,null,null,null
32,2021-10-28-16-55,null,null,null,null
33,2021-10-28-11-09,null,null,null,null
34,2021-10-27-05-57,null,null,null,null
35,2021-10-27-22-47,null,null,null,null
36,2021-10-27-02-26,null,null,null,null
37,2021-10-27-20-00,null,null,null,null
38,2021-10-28-13-34,null,null,null,null
39,2021-10-28-13-20,null,null,null,null
40,2021-10-27-13-55,null,null,null,null
41,2021-10-27-16-54,null,null,null,null
42,2021-10-27-01-45,null,null,null,null
43,2021-10-27-13-51,null,null,null,null
44,2021-10-28-17-32,null,null,null,null
45,2021-10-28-08-17,null,null,null,null
46,2021-10-27-15-34,null,null,null,null
47,2021-10-27-13-43,null,null,null,null
48,2021-10-27-21-49,null,null,null,null
49,2021-10-27-13-33,null,null,null,null
50,2021-10-27-21-37,null,null,null,null
51,2021-10-27-02-45,null,null,null,null
52,2021-10-28-01-12,null,null,null,null
53,2021-10-27-00-55,null,null,null,null
54,2021-10-27-05-50,null,null,null,null
55,2021-10-27-05-13,null,null,null,null
56,2021-10-28-21-23,null,null,null,null
57,2021-10-27-07-40,null,null,null,null
58,2021-10-28-10-14,null,null,null,null
59,2021-10-28-00-55,null,null,null,null
60,2021-10-27-22-52,null,null,null,null
61,2021-10-28-03-19,null,null,null,null
62,2021-10-28-11-17,null,null,null,null
63,2021-10-28-00-03,null,null,null,null
64,2021-10-27-10-47,null,null,null,null
65,2021-10-28-09-00,null,null,null,null
66,2021-10-27-08-28,null,null,null,null
67,2021-10-28-01-09,null,null,null,null
68,2021-10-27-13-35,null,null,null,null
69,2021-10-28-09-32,null,null,null,null
70,2021-10-28-17-41,null,null,null,null
71,2021-10-27-18-41,null,null,null,null
72,2021-10-28-16-51,null,null,null,null
73,2021-10-28-09-20,null,null,null,null
74,2021-10-28-09-32,null,null,null,null
75,2021-10-28-10-24,null,null,null,null
76,2021-10-28-05-22,null,null,null,null
77,2021-10-28-04-46,null,null,null,null
78,2021-10-28-16-22,null,null,null,null
79,2021-10-27-11-41,null,null,null,null
80,2021-10-27-00-34,null,null,null,null
81,2021-10-28-21-24,null,null,null,null
82,2021-10-27-01-32,null,null,null,null
83,2021-10-27-00-21,null,null,null,null
84,2021-10-28-07-28,null,null,null,null
85,2021-10-27-17-50,null,null,null,null
86,2021-10-28-21-10,null,null,null,null
87,2021-10-27-18-17,null,null,null,null
88,2021-10-27-10-05,null,null,null,null
89,2021-10-28-00-28,null,null,null,null
90,2021-10-27-09-57,null,null,null,null
91,2021-10-27-03-05,2021-10-28-03-05,null,null,null
92,2021-10-26-01-16,2021-10-28-01-16,null,null,null
93,2021-10-25-18-01,2021-10-26-18-01,null,null,null
94,2021-10-27-20-27,2021-10-28-20-27,null,null,null
95,2021-10-26-21-32,2021-10-28-21-32,null,null,null
96,2021-10-25-14-54,2021-10-28-14-54,null,null,null
97,2021-10-27-21-37,2021-10-28-21-37,null,null,null
98,2021-10-27-18-03,2021-10-28-18-03,null,null,null
99,2021-10-25-10-17,2021-10-26-10-17,null,null,null
100,2021-10-26-10-40,2021-10-27-10-40,null,null,null
101,2021-10-25-06-33,2021-10-28-06-33,null,null,null
102,2021-10-25-19-57,2021-10-28-19-57,null,null,null
103,2021-10-26-22-42,2021-10-27-22-42,null,null,null
104,2021-10-26-15-44,2021-10-27-15-44,null,null,null
105,2021-10-27-05-13,2021-10-28-05-13,null,null,null
106,2021-10-25-02-06,2021-10-27-02-06,null,null,null
107,2021-10-26-08-24,2021-10-27-08-24,null,null,null
108,2021-10-25-10-04,2021-10-28-10-04,null,null,null
109,2021-10-27-05-41,2021-10-28-05-41,null,null,null
110,2021-10-26-18-42,2021-10-28-18-42,null,null,null
111,2021-10-09-03-04,2021-10-10-03-04,2021-10-17-03-04,null,null
112,2021-01-01-06-33,2021-01-03-06-33,2021-01-10-06-33,null,null
113,2021-05-24-00-54,2021-05-26-00-54,2021-06-03-00-54,null,null
114,2021-05-19-06-37,2021-05-21-06-37,2021-05-28-06-37,null,null
115,2021-03-17-15-26,2021-03-19-15-26,2021-03-26-15-26,null,null
116,2021-06-09-15-07,2021-06-12-15-07,2021-06-19-15-07,null,null
117,2021-01-01-17-32,2021-01-04-17-32,2021-01-11-17-32,null,null
118,2021-02-19-02-00,2021-02-20-02-00,2021-02-27-02-00,null,null
119,2021-09-27-00-58,2021-09-29-00-58,2021-10-05-00-58,null,null
120,2021-08-04-20-41,2021-08-05-20-41,2021-08-12-20-41,null,null
121,2021-06-18-03-33,2021-06-20-03-33,2021-06-27-03-33,null,null
122,2021-08-10-17-35,2021-08-12-17-35,2021-08-19-17-35,null,null
123,2021-03-07-01-35,2021-03-09-01-35,2021-03-16-01-35,null,null
124,2021-07-07-03-03,2021-07-10-03-03,2021-07-17-03-03,null,null
125,2021-04-19-01-11,2021-04-22-01-11,2021-04-29-01-11,null,null
126,2021-06-14-00-25,2021-06-17-00-25,2021-06-24-00-25,null,null
127,2021-07-27-12-23,2021-07-30-12-23,2021-08-06-12-23,null,null
128,2021-05-06-04-35,2021-05-07-04-35,2021-05-14-04-35,null,null
129,2021-06-25-11-49,2021-06-28-11-49,2021-07-04-11-49,null,null
130,2021-06-11-03-04,2021-06-12-03-04,2021-06-19-03-04,null,null
131,2021-06-07-09-09,null,null,2021-06-09-09-09,2021-06-09-09-09
132,2021-04-27-15-01,null,null,2021-04-29-15-01,2021-04-29-15-01
133,2021-09-07-03-55,null,null,2021-09-09-03-55,2021-09-09-03-55
134,2021-02-03-00-46,null,null,2021-02-04-00-46,2021-02-04-00-46
135,2021-08-07-17-29,null,null,2021-08-09-17-29,2021-08-09-17-29
136,2021-02-28-13-30,null,null,2021-03-01-13-30,2021-03-01-13-30
137,2021-09-16-13-01,null,null,2021-09-18-13-01,2021-09-18-13-01
138,2021-08-08-18-38,null,null,2021-08-11-18-38,2021-08-11-18-38
139,2021-09-03-03-01,null,null,2021-09-05-03-01,2021-09-05-03-01
140,2021-09-13-01-34,null,null,2021-09-14-01-34,2021-09-14-01-34
141,2021-07-28-21-17,null,null,2021-07-29-21-17,2021-07-29-21-17
142,2021-03-20-13-43,null,null,2021-03-22-13-43,2021-03-22-13-43
143,2021-01-01-22-58,null,null,2021-01-02-22-58,2021-01-02-22-58
144,2021-10-23-10-48,null,null,2021-10-25-10-48,2021-10-25-10-48
145,2021-04-18-21-48,null,null,2021-04-21-21-48,2021-04-21-21-48
146,2021-02-16-12-18,null,null,2021-02-18-12-18,2021-02-18-12-18
147,2021-07-16-04-19,null,null,2021-07-19-04-19,2021-07-19-04-19
148,2021-09-26-22-26,null,null,2021-09-28-22-26,2021-09-28-22-26
149,2021-09-10-20-11,null,null,2021-09-11-20-11,2021-09-11-20-11
150,2021-03-03-03-12,null,null,2021-03-05-03-12,2021-03-05-03-12
151,2021-10-23-15-34,2021-10-25-15-34,null,2021-10-27-15-34,null
152,2021-10-24-22-20,2021-10-25-22-20,null,2021-10-27-22-20,null
153,2021-10-24-05-33,2021-10-25-05-33,null,2021-10-25-05-33,null
154,2021-10-22-17-09,2021-10-25-17-09,null,2021-10-25-17-09,null
155,2021-10-23-14-04,2021-10-24-14-04,null,2021-10-26-14-04,null
